"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3494","Verify user can login with valid credentials","tests","2026-07-02","passed","2026-07-02","","test_login","",""
"","357","Verify user can logout successfully","tests","2026-07-19","passed","2026-07-19","","test_logout","",""
"","839","Verify user can checkout successfully","tests","2026-07-02","passed","2026-07-02","","test_checkout","",""
"","5060","Verify user cannot login with invalid credentials - Wrong password","tests","2026-07-02","passed","2026-07-02","","test_login","",""
"","3678","Verify user cannot login with invalid credentials - User doesn't exist","tests","2026-07-02","passed","2026-07-02","","test_login","",""
"","1666","Verify user cannot login with invalid credentials - Empty username & password","tests","2026-07-02","passed","2026-07-02","","test_login","",""
"","4866","Verify user can add product to cart","tests","2026-07-02","passed","2026-07-02","","test_cart","",""
"","2581","Verify user cannot register using existing username","tests","2026-07-02","passed","2026-07-02","","test_registration","",""
"","4648","Verify phone details are displayed correctly","tests","2026-07-02","passed","2026-07-02","","test_product","",""
"","2865","Verify user can register successfully","tests","2026-07-02","passed","2026-07-02","","test_registration","",""
"","4029","Verify laptop details are displayed correctly","tests","2026-07-02","passed","2026-07-02","","test_product","",""
"","4861","Verify user can remove product from cart","tests","2026-07-02","passed","2026-07-02","","test_cart","",""
